match_id,date,team,opponent,venue,goals_for,goals_against,pass_completion,result
42,22/06/2026,Iraq,France,Away,0,3,82.1,Loss
43,23/06/2026,Norway,Senegal,Home,3,2,87.9,Win
43,23/06/2026,Senegal,Norway,Away,2,3,79.5,Loss
44,23/06/2026,Jordan,Algeria,Home,1,2,76.1,Loss
44,23/06/2026,Algeria,Jordan,Away,2,1,85.1,Win
45,23/06/2026,Portugal,Uzbekistan,Home,5,0,85.0,Win
45,23/06/2026,Uzbekistan,Portugal,Away,0,5,77.8,Loss
47,24/06/2026,Panama,Croatia,Home,0,1,75.5,Loss
47,24/06/2026,Croatia,Panama,Away,1,0,87.3,Win
48,24/06/2026,Colombia,D.R. Congo,Home,1,0,88.7,Win
48,24/06/2026,D.R. Congo,Colombia,Away,0,1,80.4,Loss
49,24/06/2026,Bosnia & Herzegovina,Qatar,Home,3,1,83.9,Win
49,24/06/2026,Qatar,Bosnia & Herzegovina,Away,1,3,77.5,Loss
50,24/06/2026,Switzerland,Canada,Home,2,1,86.0,Win
50,24/06/2026,Canada,Switzerland,Away,1,2,80.0,Loss
51,24/06/2026,Morocco,Haiti,Home,4,2,85.5,Win
51,24/06/2026,Haiti,Morocco,Away,2,4,83.9,Loss
52,24/06/2026,Scotland,Brazil,Home,0,3,82.4,Loss
52,24/06/2026,Brazil,Scotland,Away,3,0,82.0,Win
53,25/06/2026,Czech Republic,Mexico,Home,0,3,74.7,Loss
53,25/06/2026,Mexico,Czech Republic,Away,3,0,87.9,Win
54,25/06/2026,South Africa,South Korea,Home,1,0,83.3,Win
54,25/06/2026,South Korea,South Africa,Away,0,1,80.5,Loss
55,25/06/2026,Curacao,Ivory Coast,Home,0,2,79.9,Loss
55,25/06/2026,Ivory Coast,Curacao,Away,2,0,86.2,Win
56,25/06/2026,Ecuador,Germany,Home,2,1,83.4,Win
56,25/06/2026,Germany,Ecuador,Away,1,2,74.9,Loss
58,26/06/2026,Tunisia,Netherlands,Home,1,3,75.2,Loss
58,26/06/2026,Netherlands,Tunisia,Away,3,1,86.0,Win
60,26/06/2026,Turkey,USA,Home,3,2,88.4,Win
60,26/06/2026,USA,Turkey,Away,2,3,83.1,Loss
61,26/06/2026,Norway,France,Home,1,4,79.9,Loss
61,26/06/2026,France,Norway,Away,4,1,87.8,Win
62,26/06/2026,Senegal,Iraq,Home,5,0,87.6,Win
62,26/06/2026,Iraq,Senegal,Away,0,5,91.2,Loss
64,27/06/2026,Uruguay,Spain,Home,0,1,77.9,Loss
64,27/06/2026,Spain,Uruguay,Away,1,0,84.7,Win
66,27/06/2026,New Zealand,Belgium,Home,1,5,77.7,Loss
66,27/06/2026,Belgium,New Zealand,Away,5,1,87.8,Win
67,27/06/2026,Croatia,Ghana,Home,2,1,83.3,Win
67,27/06/2026,Ghana,Croatia,Away,1,2,82.5,Loss
68,27/06/2026,Panama,England,Home,0,2,79.1,Loss
68,27/06/2026,England,Panama,Away,2,0,83.3,Win
70,28/06/2026,D.R. Congo,Uzbekistan,Home,3,1,81.5,Win
70,28/06/2026,Uzbekistan,D.R. Congo,Away,1,3,77.7,Loss
72,28/06/2026,Jordan,Argentina,Home,1,3,77.2,Loss
72,28/06/2026,Argentina,Jordan,Away,3,1,83.3,Win
73,28/06/2026,South Africa,Canada,Home,0,1,74.6,Loss
73,28/06/2026,Canada,South Africa,Away,1,0,89.3,Win
74,29/06/2026,Brazil,Japan,Home,2,1,91.8,Win
74,29/06/2026,Japan,Brazil,Away,1,2,83.2,Loss
77,30/06/2026,Ivory Coast,Norway,Home,1,2,78.2,Loss
77,30/06/2026,Norway,Ivory Coast,Away,2,1,81.0,Win
78,30/06/2026,France,Sweden,Home,3,0,83.5,Win
78,30/06/2026,Sweden,France,Away,0,3,79.4,Loss
79,30/06/2026,Mexico,Ecuador,Home,2,0,89.4,Win
79,30/06/2026,Ecuador,Mexico,Away,0,2,80.1,Loss
80,01/07/2026,England,D.R. Congo,Home,2,1,84.7,Win
80,01/07/2026,D.R. Congo,England,Away,1,2,77.1,Loss
81,01/07/2026,Belgium,Senegal,Home,3,2,85.3,Win
81,01/07/2026,Senegal,Belgium,Away,2,3,81.0,Loss
82,01/07/2026,USA,Bosnia & Herzegovina,Home,2,0,93.2,Win
82,01/07/2026,Bosnia & Herzegovina,USA,Away,0,2,73.3,Loss
83,02/07/2026,Spain,Austria,Home,3,0,85.1,Win
83,02/07/2026,Austria,Spain,Away,0,3,77.7,Loss
84,02/07/2026,Portugal,Croatia,Home,2,1,82.4,Win
84,02/07/2026,Croatia,Portugal,Away,1,2,81.5,Loss
85,02/07/2026,Switzerland,Algeria,Home,2,0,88.7,Win
85,02/07/2026,Algeria,Switzerland,Away,0,2,79.5,Loss
87,03/07/2026,Argentina,Cape Verde,Home,3,2,84.9,Win
87,03/07/2026,Cape Verde,Argentina,Away,2,3,78.9,Loss
88,03/07/2026,Colombia,Ghana,Home,1,0,87.9,Win
88,03/07/2026,Ghana,Colombia,Away,0,1,78.8,Loss
89,04/07/2026,Canada,Morocco,Home,0,3,80.9,Loss
89,04/07/2026,Morocco,Canada,Away,3,0,86.9,Win
90,04/07/2026,Paraguay,France,Home,0,1,82.4,Loss
90,04/07/2026,France,Paraguay,Away,1,0,84.9,Win
91,05/07/2026,Brazil,Norway,Home,1,2,80.1,Loss
91,05/07/2026,Norway,Brazil,Away,2,1,86.0,Win
92,05/07/2026,Mexico,England,Home,2,3,77.1,Loss
92,05/07/2026,England,Mexico,Away,3,2,91.4,Win
93,06/07/2026,Portugal,Spain,Home,0,1,82.2,Loss
93,06/07/2026,Spain,Portugal,Away,1,0,88.5,Win
94,06/07/2026,USA,Belgium,Home,1,4,79.1,Loss
94,06/07/2026,Belgium,USA,Away,4,1,81.3,Win
95,07/07/2026,Argentina,Egypt,Home,3,2,88.0,Win
95,07/07/2026,Egypt,Argentina,Away,2,3,79.7,Loss
97,09/07/2026,France,Morocco,Home,2,0,85.0,Win
97,09/07/2026,Morocco,France,Away,0,2,76.8,Loss
98,10/07/2026,Spain,Belgium,Home,2,1,82.7,Win
98,10/07/2026,Belgium,Spain,Away,1,2,78.8,Loss
99,11/07/2026,Norway,England,Home,1,2,73.5,Loss
99,11/07/2026,England,Norway,Away,2,1,81.5,Win
100,11/07/2026,Argentina,Switzerland,Home,3,1,83.6,Win
100,11/07/2026,Switzerland,Argentina,Away,1,3,78.4,Loss
101,14/07/2026,France,Spain,Home,0,2,82.0,Loss
101,14/07/2026,Spain,France,Away,2,0,83.8,Win
102,15/07/2026,England,Argentina,Home,1,2,80.1,Loss
102,15/07/2026,Argentina,England,Away,2,1,83.2,Win
103,19/07/2026,Spain,Argentina,Home,1,0,86.9,Win
103,19/07/2026,Argentina,Spain,Away,0,1,76.4,Loss
